Word	Simplified	Traditional	Frequency	Pinyin	Definition
云	云	云	0	yún	1. (classical) to say; 2. cloud
雲	云	雲	0	yún	1. surname Yun; 2. short name for Yunnan 雲南|云南[Yun2 nan2]
亞	亚	亞	0	yà	1. Asia; 2. Asian; 3. Taiwan pr. [Ya3]
亞	亚	亞	0	yà	1. second; 2. next to; 3. inferior; 4. sub-; 5. Taiwan pr. [ya3]
產	产	產	0	chǎn	1. to give birth; 2. to reproduce; 3. to produce; 4. product; 5. resource; 6. estate; 7. property; 8. variant of 產|产[chan3]
亨	亨	亨	0	hēng	1. prosperous; 2. henry (unit of inductance)
享	享	享	0	xiǎng	1. to enjoy; 2. to benefit; 3. to have the use of; 4. old variant of 享[xiang3]
京	京	京	0	jīng	1. surname Jing; 2. short name for Beijing 北京[Bei3 jing1]; 3. Gin or Jing, ethnic minority of China, descendants of ethnic Vietnamese people living mainly in Guangxi; 4. Kinh, the ethnic majority in Vietnam
京	京	京	0	jīng	1. capital city of a country; 2. big; 3. algebraic term for a large number (old); 4. artificial mound (old)
仇	仇	仇	0	qiú	1. surname Qiu
仇	仇	仇	0	chóu	1. hatred; 2. animosity; 3. enmity; 4. foe; 5. enemy; 6. to feel animosity toward (the wealthy, foreigners etc); 7. variant of 仇[chou2]
仇	仇	仇	0	qiú	1. spouse; 2. companion
仔	仔	仔	0	zǎi	1. variant of 崽[zai3]; 2. (dialect) (bound form) young man
仔	仔	仔	0	zī	1. used in 仔肩[zi1 jian1]
仔	仔	仔	0	zǐ	1. (bound form) (of domestic animals or fowl) young; 2. (bound form) fine; detailed
令	令	令	0	líng	1. used in 脊令[ji2 ling2]; 2. used in 令狐[Ling2 hu2] (Taiwan pr. [ling4])
令	令	令	0	lǐng	1. classifier for a ream of paper
令	令	令	0	lìng	1. to order; 2. to command; 3. an order; 4. warrant; 5. writ; 6. to cause; 7. to make sth happen; 8. virtuous; 9. honorific title; 10. season; 11. government position (old); 12. type of short song or poem
儀	仪	儀	0	yí	1. apparatus; 2. rites; 3. appearance; 4. present; 5. ceremony
仲	仲	仲	0	zhòng	1. surname Zhong
仲	仲	仲	0	zhòng	1. second month of a season; 2. middle; 3. intermediate; 4. second amongst brothers
价	价	价	0	jiè	1. (literary) messenger; servant
價	价	價	0	jià	1. price; 2. value; 3. (chemistry) valence
價	价	價	0	jie	1. particle used between an adverb and a verb or adjective; 2. (dialect) particle used after a negative adverb such as 不[bu4] or 別|别[bie2] without any other following element
仿	仿	仿	0	fǎng	1. to imitate; 2. to copy; 3. variant of 仿[fang3]
企	企	企	0	qǐ	1. (bound form) to stand on tiptoe and look; to anticipate; to look forward to; 2. (bound form) company; firm; enterprise; corporation (abbr. for 企業|企业[qi3 ye4]); 3. Taiwan pr. [qi4]
伙	伙	伙	0	huǒ	1. (bound form) meals (as in 伙食[huo3 shi2]); 2. variant of 夥|伙[huo3]; 3. companion; 4. partner; 5. group; 6. classifier for groups of people; 7. to combine; 8. together
伴	伴	伴	0	bàn	1. partner; companion; comrade; associate; 2. to accompany
似	似	似	0	shì	1. used in 似的[shi4 de5]
似	似	似	0	sì	1. to seem; 2. to appear; 3. to resemble; 4. similar; 5. -like; 6. pseudo-; 7. (more) than; 8. old variant of 似[si4]
伽	伽	伽	0	gā	1. used in the transliteration of Greek letters
伽	伽	伽	0	jiā	1. traditionally used as phonetic for "ga"
伽	伽	伽	0	qié	1. used to transliterate Sanskrit "gha"
佗	佗	佗	0	tuó	1. carry on the back
余	余	余	0	yú	1. surname Yu
余	余	余	0	yú	1. (literary) I; me; 2. variant of 餘|余[yu2]; 3. extra; 4. surplus; 5. remaining; 6. remainder after division; 7. (following numerical value) or more; 8. in excess of (some number); 9. residue (math.); 10. after; 11. I; 12. me
佣	佣	佣	0	yòng	1. commission (for middleman); 2. brokerage fee
傭	佣	傭	0	yōng	1. to hire; 2. to employ; 3. servant; 4. hired laborer; 5. domestic help
佩	佩	佩	0	pèi	1. to respect; 2. to wear (belt etc); 3. girdle ornaments
佳	佳	佳	0	jiā	1. surname Jia
佳	佳	佳	0	jiā	1. beautiful; 2. fine; 3. good
例	例	例	0	lì	1. example; 2. precedent; 3. rule; 4. case; 5. instance
依	依	依	0	yī	1. to depend on; 2. to comply with or listen to sb; 3. according to; 4. in the light of
俠	侠	俠	0	xiá	1. knight-errant; 2. brave and chivalrous; 3. hero; 4. heroic
侮	侮	侮	0	wǔ	1. to insult; 2. to ridicule; 3. to disgrace
侷	局	侷	0	jú	1. narrow
促	促	促	0	cù	1. (bound form) of short duration; hasty; rapid; 2. (bound form) to hasten; to hurry; to urge; 3. (literary) close by; pressed against
俗	俗	俗	0	sú	1. custom; 2. convention; 3. popular; 4. common; 5. coarse; 6. vulgar; 7. secular
保	保	保	0	bǎo	1. Bulgaria (abbr. for 保加利亞|保加利亚[Bao3 jia1 li4 ya4])
保	保	保	0	bǎo	1. to defend; to protect; to keep; 2. to guarantee; to ensure; 3. (old) civil administration unit in the baojia 保甲[bao3 jia3] system
候	候	候	0	hòu	1. to wait; 2. to inquire after; 3. to watch; 4. season; 5. climate; 6. (old) period of five days
健	健	健	0	jiàn	1. healthy; 2. to invigorate; 3. to strengthen; 4. to be good at; 5. to be strong in
偶	偶	偶	0	ǒu	1. accidental; 2. image; 3. pair; 4. mate
償	偿	償	0	cháng	1. to repay; 2. to compensate for; 3. to recompense; 4. to fulfill (hopes etc)
傅	傅	傅	0	fù	1. surname Fu
傅	傅	傅	0	fù	1. (bound form) instructor; 2. (literary) to instruct; 3. to attach; 4. to apply (makeup etc)
傑	杰	傑	0	jié	1. (bound form) hero; 2. heroic; 3. outstanding person; 4. prominent; 5. distinguished
備	备	備	0	bèi	1. (bound form) to prepare; to equip; 2. (literary) fully; completely
儲	储	儲	0	chǔ	1. surname Chu; 2. Taiwan pr. [Chu2]
儲	储	儲	0	chǔ	1. (bound form) to store up; to keep in reserve; 2. heir to the throne; 3. Taiwan pr. [chu2]
儒	儒	儒	0	rú	1. scholar; 2. Confucian
儘	尽	儘	0	jǐn	1. to the greatest extent; 2. (when used before a noun of location) furthest or extreme; 3. to be within the limits of; 4. to give priority to
允	允	允	0	yǔn	1. just; 2. fair; 3. to permit; 4. to allow
兄	兄	兄	0	xiōng	1. elder brother
克	克	克	0	kè	1. abbr. for 克羅地亞|克罗地亚[Ke4 luo2 di4 ya4], Croatia; 2. (Tw) abbr. for 克羅埃西亞|克罗埃西亚[Ke4 luo2 ai1 xi1 ya4], Croatia; 3. Ke (c. 2000 BC), seventh of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God
克	克	克	0	kè	1. to be able to; 2. to subdue; 3. to restrain; 4. to overcome; 5. gram; 6. Tibetan unit of land area, about 6 ares; 7. variant of 克[ke4]; 8. to overthrow; 9. variant of 剋|克[ke4]
免	免	免	0	miǎn	1. to excuse sb; 2. to exempt; 3. to remove or dismiss from office; 4. to avoid; 5. to avert; 6. to escape; 7. to be prohibited
免	免	免	0	wèn	1. old variant of 絻[wen4]
兢	兢	兢	0	jīng	1. to be fearful; 2. apprehensive
蘭	兰	蘭	0	lán	1. surname Lan; 2. abbr. for Lanzhou 蘭州|兰州[Lan2 zhou1], Gansu
蘭	兰	蘭	0	lán	1. orchid (蘭花|兰花 Cymbidium goeringii); 2. fragrant thoroughwort (蘭草|兰草 Eupatorium fortunei); 3. lily magnolia (木蘭|木兰)
共	共	共	0	gòng	1. common; 2. general; 3. to share; 4. together; 5. total; 6. altogether; 7. abbr. for 共產黨|共产党[Gong4 chan3 dang3], Communist party
興	兴	興	0	xīng	1. surname Xing
興	兴	興	0	xīng	1. to rise; 2. to flourish; 3. to become popular; 4. to start; 5. to encourage; 6. to get up; 7. (often used in the negative) to permit or allow (dialect); 8. maybe (dialect)
興	兴	興	0	xìng	1. feeling or desire to do sth; 2. interest in sth; 3. excitement
典	典	典	0	diǎn	1. canon; 2. law; 3. standard work of scholarship; 4. literary quotation or allusion; 5. ceremony; 6. to be in charge of; 7. to mortgage or pawn
養	养	養	0	yǎng	1. to raise (animals); 2. to bring up (children); 3. to keep (pets); 4. to support; 5. to give birth
獸	兽	獸	0	shòu	1. beast; 2. animal; 3. beastly; 4. bestial
軍	军	軍	0	jūn	1. (bound form) army; 2. military
農	农	農	0	nóng	1. surname Nong
農	农	農	0	nóng	1. (bound form) agriculture; 2. variant of 農|农[nong2]
冬	冬	冬	0	dōng	1. winter; 2. (onom.) beating a drum; 3. rat-a-tat
鼕	冬	鼕	0	dōng	1. surname Dong
准	准	准	0	zhǔn	1. to allow; 2. to grant; 3. in accordance with; 4. in the light of; 5. accurate; 6. standard; 7. definitely; 8. certainly; 9. about to become (bride, son-in-law etc); 10. quasi-; 11. para-
減	减	減	0	jiǎn	1. to lower; 2. to decrease; 3. to reduce; 4. to subtract; 5. to diminish
湊	凑	湊	0	còu	1. to gather together, pool or collect; 2. to happen by chance; 3. to move close to; 4. to exploit an opportunity
凡	凡	凡	0	fán	1. ordinary; 2. commonplace; 3. mundane; 4. temporal; 5. of the material world (as opposed to supernatural or immortal levels); 6. every; 7. all; 8. whatever; 9. altogether; 10. gist; 11. outline; 12. note of Chinese musical scale
擊	击	擊	0	jī	1. to hit; 2. to strike; 3. to break; 4. Taiwan pr. [ji2]
鑿	凿	鑿	0	záo	1. (bound form) chisel; 2. to bore a hole; to chisel; to dig; 3. (literary) certain; authentic; irrefutable; 4. also pr. [zuo4]
切	切	切	0	qiē	1. to cut; to slice; to carve; 2. (math.) tangential
切	切	切	0	qiè	1. definitely; absolutely (not); 2. (scoffing or dismissive interjection) Yeah, right.; Tut!; 3. to grind; 4. (bound form) close to; 5. (bound form) eager; 6. to correspond to; 7. (used to indicate that the fanqie 反切[fan3 qie4] system should be applied to the previous two characters)
劉	刘	劉	0	liú	1. surname Liu
劉	刘	劉	0	liú	1. (classical) a type of battle-ax; 2. to kill; 3. to slaughter
剏	创	剏	0	chuàng	1. variant of 創|创[chuang4]; 2. to initiate; to create; to achieve (sth for the first time)
創	创	創	0	chuāng	1. (bound form) a wound; to wound
初	初	初	0	chū	1. (bound form) at first; initially; 2. (bound form) first; early; 3. (bound form) (in lunar calendar dates, before numerals 1–10) days 1 to 10 of a month, as in 初三[chu1 san1] "the third"
判	判	判	0	pàn	1. (bound form) to differentiate; to distinguish; 2. (bound form) clearly (different); 3. to judge; to decide; to grade; 4. (of a judge) to sentence
剎	刹	剎	0	chà	1. Buddhist monastery, temple or shrine (abbr. for 剎多羅|刹多罗[cha4 duo1 luo2], Sanskrit "ksetra")
剎	刹	剎	0	shā	1. to brake
刺	刺	刺	0	cī	1. (onom.) whoosh
刺	刺	刺	0	cì	1. thorn; 2. sting; 3. thrust; 4. to prick; 5. to pierce; 6. to stab; 7. to assassinate; 8. to murder
剖	剖	剖	0	pōu	1. to cut open; 2. to analyze; 3. Taiwan pr. [pou3]
劇	剧	劇	0	jù	1. theatrical work (play, opera, TV series etc); 2. dramatic (change, increase etc); 3. acute; 4. severe
創	创	創	0	chuàng	1. to initiate; to create; to achieve (sth for the first time)
務	务	務	0	wù	1. affair; 2. business; 3. matter; 4. to be engaged in; 5. to attend to; 6. by all means
助	助	助	0	zhù	1. to help; 2. to assist
努	努	努	0	nǔ	1. to exert; 2. to strive
勢	势	勢	0	shì	1. power; 2. influence; 3. potential; 4. momentum; 5. tendency; 6. trend; 7. situation; 8. conditions; 9. outward appearance; 10. sign; 11. gesture; 12. male genitals
勇	勇	勇	0	yǒng	1. brave
勒	勒	勒	0	lè	1. (literary) bridle; halter; headstall; 2. to rein in; 3. to compel; to force; 4. (literary) to carve; to engrave; 5. (literary) to command; to lead (an army etc); 6. (physics) lux (abbr. for 勒克斯[le4 ke4 si1])
勒	勒	勒	0	lēi	1. to strap tightly; 2. to bind
勝	胜	勝	0	shèng	1. victory; 2. success; 3. to beat; 4. to defeat; 5. to surpass; 6. victorious; 7. superior to; 8. to get the better of; 9. better than; 10. surpassing; 11. superb (of vista); 12. beautiful (scenery)
勺	勺	勺	0	sháo	1. spoon; 2. ladle; 3. abbr. for 公勺[gong1 shao2], centiliter (unit of volume)
匆	匆	匆	0	cōng	1. hurried; 2. hasty; 3. variant of 匆[cong1]
匯	汇	匯	0	huì	1. to remit; 2. to converge (of rivers); 3. to exchange
區	区	區	0	ōu	1. surname Ou
區	区	區	0	qū	1. area; 2. region; 3. district; 4. small; 5. distinguish
醫	医	醫	0	yī	1. medical; 2. medicine; 3. doctor; 4. to cure; 5. to treat
協	协	協	0	xié	1. to cooperate; 2. to harmonize; 3. to help; 4. to assist; 5. to join
卑	卑	卑	0	bēi	1. low; 2. base; 3. vulgar; 4. inferior; 5. humble
南	南	南	0	nán	1. surname Nan
南	南	南	0	nā	1. used in 南無|南无[na1 mo2]; 2. Taiwan pr. [na2]
南	南	南	0	nán	1. south
博	博	博	0	bó	1. (bound form) abundant; plentiful; extensive; wide; 2. to win; to gain; 3. to play; to gamble; 4. learned; well-read; 5. (bound form) doctoral degree (abbr. for 博士[bo2 shi4]); 6. (bound form) blog (abbr. for 博客[bo2 ke4]); 7. old variant of 博[bo2]
卡	卡	卡	0	kǎ	1. to stop; 2. to block; 3. (computing) (coll.) slow; 4. (loanword) card; 5. truck (from "car"); 6. calorie (abbr. for 卡路里[ka3 lu4 li3]); 7. cassette
卡	卡	卡	0	qiǎ	1. to block; 2. to be stuck; 3. to be wedged; 4. customs station; 5. a clip; 6. a fastener; 7. a checkpost; 8. Taiwan pr. [ka3]
卦	卦	卦	0	guà	1. divinatory diagram; 2. one of the eight divinatory trigrams of the Book of Changes 易經|易经[Yi4 jing1]; 3. one of the sixty-four divinatory hexagrams of the Book of Changes 易經|易经[Yi4 jing1]
危	危	危	0	wēi	1. surname Wei
危	危	危	0	wēi	1. danger; 2. to endanger; 3. Taiwan pr. [wei2]
廳	厅	廳	0	tīng	1. (reception) hall; 2. living room; 3. office; 4. provincial government department
厤	历	厤	0	lì	1. old variant of 曆|历[li4]; 2. old variant of 歷|历[li4]; 3. calendar; 4. to experience; 5. to undergo; 6. to pass through; 7. all; 8. each; 9. every; 10. history
厲	厉	厲	0	lì	1. surname Li
厲	厉	厲	0	lì	1. strict; 2. severe
厭	厌	厭	0	yàn	1. (bound form) to loathe; to be fed up with; 2. (literary) to satiate; to satisfy
厠	厕	厠	0	cè	1. variant of 廁|厕[ce4]; 2. (bound form) restroom; toilet; lavatory; 3. (literary) to be mingled with; to be involved in
廁	厕	廁	0	sì	1. used in 茅廁|茅厕[mao2 si5]
厮	厮	厮	0	sī	1. variant of 廝|厮[si1]; 2. (bound form) together; each other; 3. (bound form) male servant; 4. (bound form) dude; so-and-so (used in 那廝|那厮[na4 si1] and 這廝|这厮[zhe4 si1])
縣	县	縣	0	xiàn	1. county; 2. (Japan) prefecture
㕘	参	㕘	0	cān	1. variant of 參|参[can1]; 2. to take part in; 3. to participate; 4. to join; 5. to attend; 6. to counsel; 7. unequal; 8. varied; 9. irregular; 10. uneven; 11. not uniform; 12. abbr. for 參議院|参议院 Senate, Upper House
參	参	參	0	cēn	1. used in 參差|参差[cen1 ci1]
參	参	參	0	shēn	1. ginseng; 2. one of the 28 constellations; 3. variant of 參|参[shen1]
參	叁	參	0	sān	1. three (banker's anti-fraud numeral)
參	参	參	0	cān	1. to take part in; 2. to participate; 3. to join; 4. to attend; 5. to counsel; 6. unequal; 7. varied; 8. irregular; 9. uneven; 10. not uniform; 11. abbr. for 參議院|参议院 Senate, Upper House
參	参	參	0	shēn	1. ginseng; 2. one of the 28 constellations
及	及	及	0	jí	1. and; 2. to reach; 3. up to; 4. in time for
友	友	友	0	yǒu	1. friend
另	另	另	0	lìng	1. other; 2. another; 3. separate; 4. separately
史	史	史	0	shǐ	1. surname Shi
史	史	史	0	shǐ	1. history; 2. annals; 3. title of an official historian in ancient China
司	司	司	0	sī	1. surname Si
司	司	司	0	sī	1. to take charge of; 2. to manage; 3. department (under a ministry)
嘆	叹	嘆	0	tàn	1. to sigh; 2. to exclaim; 3. variant of 嘆|叹[tan4]
吉	吉	吉	0	jí	1. short name for Jilin 吉林[Ji2 lin2]; 2. surname Ji
吉	吉	吉	0	jí	1. lucky; 2. giga- (meaning billion or 10^9)
吊	吊	吊	0	diào	1. to suspend; 2. to hang up; 3. to hang a person; 4. a string of 100 cash (arch.); 5. to lament; 6. to condole with; 7. variant of 吊[diao4]
呂	吕	呂	0	lǚ	1. surname Lü
呂	吕	呂	0	lǚ	1. pitchpipe, pitch standard, one of the twelve semitones in the traditional tone system
君	君	君	0	jūn	1. monarch; 2. lord; 3. gentleman; 4. ruler
吞	吞	吞	0	tūn	1. to swallow; 2. to take
否	否	否	0	fǒu	1. to negate; 2. to deny; 3. not
否	否	否	0	pǐ	1. clogged; 2. evil
唘	启	唘	0	qǐ	1. variant of 啟|启[qi3]; 2. to open; 3. to start; 4. to initiate; 5. to enlighten or awaken; 6. to state; 7. to inform
啟	启	啟	0	qǐ	1. Qi son of Yu the Great 禹[Yu3], reported founder of the Xia Dynasty 夏朝[Xia4 Chao2] (c. 2070-c. 1600 BC)
吱	吱	吱	0	zhī	1. (onom.) creaking or groaning
吱	吱	吱	0	zī	1. (onom.) chirp; squeak; creak
吶	呐	吶	0	nà	1. battle cry
吶	呐	吶	0	na	1. sentence-final particle (abbr. for 呢啊[ne5 a5] or variant of 哪[na5])
吸	吸	吸	0	xī	1. to breathe; 2. to suck in; 3. to absorb; 4. to inhale
吻	吻	吻	0	wěn	1. kiss; 2. to kiss; 3. mouth; 4. variant of 吻[wen3]
吾	吾	吾	0	wú	1. surname Wu
吾	吾	吾	0	wú	1. (old) I; my
呈	呈	呈	0	chéng	1. to present to a superior; 2. memorial; 3. petition; 4. to present (a certain appearance); 5. to assume (a shape); 6. to be (a certain color)
員	员	員	0	yuán	1. (bound form) person engaged in a certain field of activity; 2. (bound form) member; 3. classifier for military generals
嗆	呛	嗆	0	qiāng	1. to choke (because of swallowing the wrong way)
嗆	呛	嗆	0	qiàng	1. to irritate the nose; 2. to choke (of smoke, smell etc); 3. pungent; 4. (coll.) (Tw) to shout at sb; 5. to scold; 6. to speak out against sb
嗚	呜	嗚	0	wū	1. (onom.) for humming or whimpering
呵	呵	呵	0	ā	1. variant of 啊[a1]
呵	呵	呵	0	hē	1. (bound form) to scold; 2. to expel breath; 3. (onom.) laughter (usu. reduplicated); 4. interjection of surprise
呼	呼	呼	0	hū	1. to call; 2. to cry; 3. to shout; 4. to breath out; 5. to exhale; 6. variant of 呼[hu1]; 7. to call out
咖	咖	咖	0	gā	1. used in 咖喱[ga1 li2]
咖	咖	咖	0	kā	1. (bound form) coffee; café (abbr. for 咖啡[ka1 fei1]); 2. (Tw) (bound form) type of person (esp. in entertainment contexts) (loanword from "cast") (as in 大咖[da4 ka1] and 怪咖[guai4 ka1])
咚	咚	咚	0	dōng	1. (onom.) boom (of a drum); 2. knock (on the door)
哆	哆	哆	0	duō	1. used in 哆嗦[duo1 suo5]
哈	哈	哈	0	hā	1. abbr. for 哈薩克斯坦|哈萨克斯坦[Ha1 sa4 ke4 si1 tan3], Kazakhstan; 2. abbr. for 哈爾濱|哈尔滨[Ha1 er3 bin1], Harbin
哈	哈	哈	0	hā	1. (interj.) ha!; 2. (onom. for laughter); 3. (slang) to be infatuated with; to adore; 4. (bound form) husky (dog) (abbr. for 哈士奇[ha1 shi4 qi2])
哈	哈	哈	0	hǎ	1. a Pekinese; a pug; 2. (dialect) to scold
哎	哎	哎	0	āi	1. hey!; 2. (interjection used to attract attention or to express surprise or disapprobation)
喲	哟	喲	0	yō	1. Oh! (interjection indicating slight surprise); 2. also pr. [yao1]
喲	哟	喲	0	yo	1. (sentence-final particle expressing exhortation); 2. (syllable filler in a song)
哲	哲	哲	0	zhé	1. wise; 2. a sage
唉	唉	唉	0	āi	1. interjection or grunt of agreement or recognition (e.g. yes, it's me!); 2. to sigh
唉	唉	唉	0	ài	1. alas; 2. oh dear
唬	唬	唬	0	hǔ	1. a tiger's roar; 2. to scare; 3. to intimidate; 4. (coll.) to fool; 5. to bluff
售	售	售	0	shòu	1. (bound form) to sell; to retail; 2. (literary) to carry out (a plan or intrigue etc)
唱	唱	唱	0	chàng	1. to sing; 2. to call loudly; 3. to chant
啟	启	啟	0	qǐ	1. to open; 2. to start; 3. to initiate; 4. to enlighten or awaken; 5. to state; 6. to inform
啡	啡	啡	0	fēi	1. (used in loanwords for its phonetic value)
啤	啤	啤	0	pí	1. beer
啼	啼	啼	0	tí	1. (bound form) to cry; to weep loudly; 2. (bound form) (of a bird or animal) to crow; to hoot; to screech; 3. variant of 啼[ti2]
喇	喇	喇	0	lā	1. (onom.) sound of wind, rain etc
喇	喇	喇	0	lǎ	1. (phonetic)
喻	喻	喻	0	yù	1. surname Yu
喻	喻	喻	0	yù	1. to describe sth as; 2. an analogy; 3. a simile; 4. a metaphor; 5. an allegory
嗜	嗜	嗜	0	shì	1. (bound form) to have a strong liking for; to be addicted to
嗦	嗦	嗦	0	suō	1. to suck; 2. used in 囉嗦|啰嗦[luo1 suo5]; 3. used in 哆嗦[duo1 suo5]
嘆	叹	嘆	0	tàn	1. to sigh; 2. to exclaim
嘟	嘟	嘟	0	dū	1. (onom.) toot; honk; beep (sound of a horn etc); 2. (coll.) to pout
嘲	嘲	嘲	0	cháo	1. to ridicule; 2. to mock
嘲	嘲	嘲	0	zhāo	1. used in 嘲哳[zhao1 zha1]
噁	𫫇	噁	0	è	1. variant of 惡|恶[e4], used in names of chemical compounds
園	园	園	0	yuán	1. surname Yuan
園	园	園	0	yuán	1. land used for growing plants; 2. site used for public recreation; 3. abbr. for a place ending in 園|园, such as a botanical garden 植物園|植物园, kindergarten 幼兒園|幼儿园 etc
固	固	固	0	gù	1. hard; 2. strong; 3. solid; 4. sure; 5. assuredly; 6. undoubtedly; 7. of course; 8. indeed; 9. admittedly
均	均	均	0	jūn	1. (bound form) equal; uniform; even; 2. (literary) without exception; all
坑	坑	坑	0	kēng	1. pit; hollow; depression; 2. (mining) pit; shaft; tunnel; 3. (literary) to bury alive; 4. (coll.) to cheat; to scam; to screw over; 5. variant of 坑[keng1]
堅	坚	堅	0	jiān	1. strong; 2. solid; 3. firm; 4. unyielding; 5. resolute
坡	坡	坡	0	pō	1. slope; 2. sloping; 3. slanted
坤	坤	坤	0	kūn	1. one of the Eight Trigrams 八卦[ba1 gua4], symbolizing earth; 2. female principle; 3. ☷; 4. ancient Chinese compass point: 225° (southwest); 5. variant of 坤[kun1]
坦	坦	坦	0	tǎn	1. flat; 2. open-hearted; 3. level; 4. smooth
坯	坯	坯	0	pī	1. blank (e.g. for a coin); 2. unburnt earthenware; 3. semifinished product; 4. Taiwan pr. [pei1]
垂	垂	垂	0	chuí	1. to hang (down); 2. droop; 3. dangle; 4. bend down; 5. hand down; 6. bequeath; 7. nearly; 8. almost; 9. to approach
型	型	型	0	xíng	1. mold; 2. type; 3. style; 4. model
城	城	城	0	chéng	1. city walls; 2. city; 3. town
域	域	域	0	yù	1. field; 2. region; 3. area; 4. domain (taxonomy)
執	执	執	0	zhí	1. to execute (a plan); 2. to grasp
基	基	基	0	jī	1. (bound form) base; foundation; 2. (bound form) radical (chemistry); 3. (bound form) gay (loanword from English into Cantonese, Jyutping: gei1, followed by orthographic borrowing from Cantonese)
塌	塌	塌	0	tā	1. to collapse; 2. to droop; 3. to settle down
塑	塑	塑	0	sù	1. to model (a figure) in clay; 2. (bound form) plastic (i.e. the synthetic material)
塔	塔	塔	0	tǎ	1. pagoda (abbr. for 塔婆[ta3 po2], a loanword from Sanskrit stūpa); tower; pylon (CL:座[zuo4]); 2. (loanword) (pastry) tart; 3. old variant of 塔[ta3]
塘	塘	塘	0	táng	1. dyke; 2. embankment; 3. pool or pond; 4. hot-water bathing pool
填	填	填	0	tián	1. to fill or stuff; 2. (of a form etc) to fill in
塵	尘	塵	0	chén	1. dust; 2. dirt; 3. earth
境	境	境	0	jìng	1. border; 2. place; 3. condition; 4. boundary; 5. circumstances; 6. territory
墨	墨	墨	0	mò	1. surname Mo; 2. abbr. for 墨西哥[Mo4 xi1 ge1], Mexico
墨	墨	墨	0	mò	1. ink stick; 2. China ink; 3. corporal punishment consisting of tattooing characters on the victim's forehead
壁	壁	壁	0	bì	1. wall; 2. rampart
壯	壮	壯	0	zhuàng	1. Zhuang ethnic group, the largest ethnic minority in China
壯	壮	壯	0	zhuàng	1. to strengthen; 2. strong; 3. robust
壽	寿	壽	0	shòu	1. surname Shou
壽	寿	壽	0	shòu	1. long life; 2. old age; 3. age; 4. life; 5. birthday; 6. funerary
俻	备	俻	0	bèi	1. variant of 備|备[bei4]; 2. (bound form) to prepare; to equip; 3. (literary) fully; completely
復	复	復	0	fù	1. to go and return; 2. to return; 3. to resume; 4. to return to a normal or original state; 5. to repeat; 6. again; 7. to recover; 8. to restore; 9. to turn over; 10. to reply; 11. to answer; 12. to reply to a letter
夏	夏	夏	0	xià	1. the Xia or Hsia dynasty c. 2000 BC; 2. Xia of the Sixteen Kingdoms (407–432); 3. surname Xia
夏	夏	夏	0	xià	1. summer
夕	夕	夕	0	xī	1. (bound form) sunset; dusk; 2. (bound form) evening; night; 3. Taiwan pr. [xi4]
夥	伙	夥	0	huǒ	1. companion; 2. partner; 3. group; 4. classifier for groups of people; 5. to combine; 6. together; 7. (literary) many; numerous
